CODE;DEFAULT_TEXT
sap.ino.config.PRE_SCREENING;Pre-Screening
sap.ino.config.ASSESSMENT;Assessment
sap.ino.config.PROJECT;Project
sap.ino.config.PRODUCTIFICATION;Productification Preparation
sap.ino.config.PORTFOLIO;Portfolio Decision 
