CODE;DEFAULT_TEXT
sap.ino.config.CAMP_OVERALL;Overall Campaign
sap.ino.config.CAMP_REGISTRATION;Campaign Registration
sap.ino.config.IDEA_SUBMISSION;Idea Submission
