CODE;COMPANY_VIEW_OPTION;DEFAULT_TEXT;DEFAULT_LONG_TEXT
sap.ino.config.COMPANY;COMPANY;Company;Company
sap.ino.config.ORGANIZATION;ORGANIZATION;Organization;Organization
