ATTACHMENT;Attachment;
IDEA_TITLE_IMAGE;Idea Title Image;
CAMPAIGN_DETAIL_IMG;Campaign Detail Image;
IDENTITY_IMAGE;Identity Image;
LOGO_IMG; Logo Image;
BACKGROUND_IMG;Background Image;
SMALL_BACKGROUND_IMG; Small Background Image;
COMMENT_CONTENT_IMG;comment content image;
CAMPAIGN_LIST_IMG;Campaign List Image;
